Matchup,Line 1,Line 2,Best Bet,Confidence
DAL @ CHA,DAL -550,CHA +410,DAL -550,0.035256320065634505
DET @ PHI,DET +900,PHI -1600,DET +900,0.031346480599563104
IND @ TOR,IND -340,TOR +270,TOR +270,0.007540847614615709
BOS @ MIL,BOS -110,MIL -110,BOS -110,0.21451134521342408
MIA @ ATL,MIA -135,ATL +114,ATL +114,0.11479304008313984
NY  @ CHI,NY  -135,CHI +114,CHI +114,0.07968739234776945
WAS @ MIN,WAS +900,MIN -1600,MIN -1600,0.09917273904455404
ORL @ HOU,ORL -122,HOU +102,HOU +102,0.046437159362011315
SA  @ MEM,SA  -135,MEM +114,MEM +114,0.12190901097464124
SAC @ OKC,SAC +114,OKC -135,OKC -135,0.07177654243283715
DEN @ UTA,DEN -1000,UTA +650,UTA +650,0.033602646829686306
NO  @ POR,NO  -500,POR +380,POR +380,0.07935148000789896
LA C @ PHO,LA C +120,PHO -142,PHO -142,-0.007324685731902036
GS  @ LA L,GS  +110,LA L -130,LA L -130,0.038326537088685164
