Team,ELO,Last 10 Game Plus-Minus
BOS,1725.5,130
DEN,1671.0,74
OKC,1666.5,37
DAL,1663.0,130
MIN,1625.7,70
LAL,1610.3,43
NOP,1599.2,36
PHX,1593.7,29
MIL,1591.4,19
GSW,1580.4,46
IND,1575.9,71
HOU,1575.0,100
LAC,1572.3,-4
SAC,1554.9,38
NYK,1554.4,116
ORL,1551.5,86
ATL,1528.3,32
MIA,1524.4,65
CLE,1506.6,-51
CHI,1500.1,-1
PHI,1436.3,2
BKN,1379.5,-66
SAS,1374.4,-30
MEM,1349.9,-100
UTA,1327.6,-122
DET,1294.1,-133
POR,1287.5,-151
CHA,1282.2,-131
WAS,1266.9,-106
TOR,1262.0,-164
